index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
1753,HSS12X12X3/16,29.84,8.15,0,0,0,0,0,0,189,36,31.5,4.82,189,36,31.5,4.82,290,0,0
1754,HSS12X10X5/8,84.84,23.3,0,0,0,0,0,0,472,95.3,78.7,4.5,356,84.1,71.2,3.9,661,0,0
1755,HSS12X10X1/2,69.27,19,0,0,0,0,0,0,395,78.8,65.9,4.56,298,69.6,59.7,3.96,545,0,0
1756,HSS12X10X3/8,53,14.6,0,0,0,0,0,0,310,61.1,51.6,4.61,234,54,46.9,4.01,421,0,0
1757,HSS12X10X5/16,44.6,12.2,0,0,0,0,0,0,264,51.7,44,4.64,200,45.7,40,4.04,356,0,0
1758,HSS12X10X1/4,36.03,9.9,0,0,0,0,0,0,216,42.1,36,4.67,164,37.2,32.7,4.07,289,0,0
1759,HSS12X10X3/16,27.29,7.46,0,0,0,0,0,0,165,31.9,27.5,4.7,125,28.2,25,4.09,219,0,0
1760,HSS12X8X5/8,76.33,21,0,0,0,0,0,0,397,82.1,66.1,4.34,210,61.9,52.5,3.16,454,0,0
1761,HSS12X8X1/2,62.46,17.2,0,0,0,0,0,0,333,68.1,55.6,4.41,178,51.5,44.4,3.21,377,0,0
1762,HSS12X8X3/8,47.9,13.2,0,0,0,0,0,0,262,53,43.7,4.47,140,40.1,35.1,3.27,293,0,0
1763,HSS12X8X5/16,40.35,11.1,0,0,0,0,0,0,224,44.9,37.4,4.5,120,34.1,30.1,3.29,248,0,0
1764,HSS12X8X1/4,32.63,8.96,0,0,0,0,0,0,184,36.6,30.6,4.53,98.8,27.8,24.7,3.32,202,0,0
1765,HSS12X8X3/16,24.73,6.76,0,0,0,0,0,0,140,27.8,23.4,4.56,75.7,21.1,18.9,3.35,153,0,0
1766,HSS12X6X5/8,67.82,18.7,0,0,0,0,0,0,321,68.8,53.4,4.14,107,42.1,35.5,2.39,271,0,0
1767,HSS12X6X1/2,55.66,15.3,0,0,0,0,0,0,271,57.4,45.2,4.21,91.1,35.2,30.4,2.44,227,0,0
1768,HSS12X6X3/8,42.79,11.8,0,0,0,0,0,0,215,44.8,35.9,4.28,72.9,27.7,24.3,2.49,178,0,0
1769,HSS12X6X5/16,36.1,9.92,0,0,0,0,0,0,184,38.1,30.7,4.31,62.8,23.6,20.9,2.52,152,0,0
1770,HSS12X6X1/4,29.23,8.03,0,0,0,0,0,0,151,31.1,25.2,4.34,51.9,19.3,17.3,2.54,124,0,0
1771,HSS12X6X3/16,22.18,6.06,0,0,0,0,0,0,116,23.7,19.4,4.38,40,14.7,13.3,2.57,94.6,0,0
1772,HSS12X4X5/8,59.32,16.4,0,0,0,0,0,0,245,55.5,40.8,3.87,40.4,24.5,20.2,1.57,122,0,0
1773,HSS12X4X1/2,48.85,13.5,0,0,0,0,0,0,210,46.7,34.9,3.95,35.3,20.9,17.7,1.62,105,0,0
1774,HSS12X4X3/8,37.69,10.4,0,0,0,0,0,0,168,36.7,28,4.02,28.9,16.6,14.5,1.67,84.1,0,0
1775,HSS12X4X5/16,31.84,8.76,0,0,0,0,0,0,144,31.3,24.1,4.06,25.2,14.2,12.6,1.7,72.4,0,0
1776,HSS12X4X1/4,25.82,7.1,0,0,0,0,0,0,119,25.6,19.9,4.1,21,11.7,10.5,1.72,59.8,0,0
1777,HSS12X4X3/16,19.63,5.37,0,0,0,0,0,0,91.8,19.6,15.3,4.13,16.4,9,8.2,1.75,46.1,0,0
1778,HSS12X3X5/16,29.72,8.17,0,0,0,0,0,0,124,27.9,20.7,3.9,13.1,10,8.73,1.27,41.3,0,0
1779,HSS12X3X1/4,24.12,6.63,0,0,0,0,0,0,103,22.9,17.2,3.94,11.1,8.28,7.38,1.29,34.5,0,0
1780,HSS12X3X3/16,18.35,5.02,0,0,0,0,0,0,79.6,17.5,13.3,3.98,8.72,6.4,5.81,1.32,26.8,0,0
1781,HSS12X2X5/16,27.59,7.59,0,0,0,0,0,0,104,24.5,17.4,3.71,5.1,6.05,5.1,0.82,17.6,0,0
1782,HSS12X2X1/4,22.42,6.17,0,0,0,0,0,0,86.9,20.1,14.5,3.75,4.41,5.08,4.41,0.845,15.1,0,0
1783,HSS12X2X3/16,17.08,4.67,0,0,0,0,0,0,67.4,15.5,11.2,3.8,3.55,3.97,3.55,0.872,12,0,0
1784,HSS10X10X3/4,89.5,24.7,0,0,0,0,0,0,347,84.7,69.4,3.75,347,84.7,69.4,3.75,578,0,0
1785,HSS10X10X5/8,76.33,21,0,0,0,0,0,0,304,73.2,60.8,3.8,304,73.2,60.8,3.8,498,0,0
1786,HSS10X10X1/2,62.46,17.2,0,0,0,0,0,0,256,60.7,51.2,3.86,256,60.7,51.2,3.86,412,0,0
1787,HSS10X10X3/8,47.9,13.2,0,0,0,0,0,0,202,47.2,40.4,3.92,202,47.2,40.4,3.92,320,0,0
1788,HSS10X10X5/16,40.35,11.1,0,0,0,0,0,0,172,40.1,34.5,3.94,172,40.1,34.5,3.94,271,0,0
1789,HSS10X10X1/4,32.63,8.96,0,0,0,0,0,0,141,32.7,28.3,3.97,141,32.7,28.3,3.97,220,0,0
1790,HSS10X10X3/16,24.73,6.76,0,0,0,0,0,0,108,24.8,21.6,4,108,24.8,21.6,4,167,0,0
1791,HSS10X8X5/8,67.82,18.7,0,0,0,0,0,0,253,62.2,50.5,3.68,178,53.3,44.5,3.09,346,0,0
1792,HSS10X8X1/2,55.66,15.3,0,0,0,0,0,0,214,51.9,42.7,3.73,151,44.5,37.8,3.14,288,0,0
1793,HSS10X8X3/8,42.79,11.8,0,0,0,0,0,0,169,40.5,33.9,3.79,120,34.8,30,3.19,224,0,0
1794,HSS10X8X5/16,36.1,9.92,0,0,0,0,0,0,145,34.4,29,3.82,103,29.6,25.7,3.22,190,0,0
1795,HSS10X8X1/4,29.23,8.03,0,0,0,0,0,0,119,28.1,23.8,3.85,84.7,24.2,21.2,3.25,155,0,0
1796,HSS10X8X3/16,22.18,6.06,0,0,0,0,0,0,91.4,21.4,18.3,3.88,65.1,18.4,16.3,3.28,118,0,0
1797,HSS10X6X5/8,59.32,16.4,0,0,0,0,0,0,201,51.3,40.2,3.5,89.4,35.8,29.8,2.34,209,0,0
1798,HSS10X6X1/2,48.85,13.5,0,0,0,0,0,0,171,43,34.3,3.57,76.8,30.1,25.6,2.39,176,0,0
1799,HSS10X6X3/8,37.69,10.4,0,0,0,0,0,0,137,33.8,27.4,3.63,61.8,23.7,20.6,2.44,139,0,0
1800,HSS10X6X5/16,31.84,8.76,0,0,0,0,0,0,118,28.8,23.5,3.66,53.3,20.2,17.8,2.47,118,0,0
1801,HSS10X6X1/4,25.82,7.1,0,0,0,0,0,0,96.9,23.6,19.4,3.69,44.1,16.6,14.7,2.49,96.7,0,0
1802,HSS10X6X3/16,19.63,5.37,0,0,0,0,0,0,74.6,18,14.9,3.73,34.1,12.7,11.4,2.52,73.8,0,0
1803,HSS10X5X3/8,35.13,9.67,0,0,0,0,0,0,120,30.4,24.1,3.53,40.6,18.7,16.2,2.05,100,0,0
1804,HSS10X5X5/16,29.72,8.17,0,0,0,0,0,0,104,26,20.8,3.56,35.2,16,14.1,2.07,86,0,0
1805,HSS10X5X1/4,24.12,6.63,0,0,0,0,0,0,85.8,21.3,17.2,3.6,29.3,13.2,11.7,2.1,70.7,0,0
1806,HSS10X4X5/8,50.81,14,0,0,0,0,0,0,149,40.3,29.9,3.26,33.5,20.6,16.8,1.54,95.7,0,0
1807,HSS10X4X1/2,42.05,11.6,0,0,0,0,0,0,129,34.1,25.8,3.34,29.5,17.6,14.7,1.59,82.6,0,0
1808,HSS10X4X3/8,32.58,8.97,0,0,0,0,0,0,104,27,20.8,3.41,24.3,14,12.1,1.64,66.5,0,0
1809,HSS10X4X5/16,27.59,7.59,0,0,0,0,0,0,90.1,23.1,18,3.44,21.2,12.1,10.6,1.67,57.3,0,0
1810,HSS10X4X1/4,22.42,6.17,0,0,0,0,0,0,74.7,19,14.9,3.48,17.7,10,8.87,1.7,47.4,0,0
1811,HSS10X4X3/16,17.08,4.67,0,0,0,0,0,0,57.8,14.6,11.6,3.52,13.9,7.66,6.93,1.72,36.5,0,0
1812,HSS10X4X1/8,11.56,3.16,0,0,0,0,0,0,39.8,10,7.97,3.55,9.65,5.26,4.83,1.75,25.1,0,0
1813,HSS10X3-1/2X3/8,31.31,8.62,0,0,0,0,0,0,96.1,25.3,19.2,3.34,17.8,11.8,10.2,1.44,51.5,0,0
1814,HSS10X3-1/2X5/16,26.53,7.3,0,0,0,0,0,0,83.2,21.7,16.6,3.38,15.6,10.2,8.92,1.46,44.6,0,0
1815,HSS10X3-1/2X1/4,21.57,5.93,0,0,0,0,0,0,69.1,17.9,13.8,3.41,13.1,8.45,7.51,1.49,37,0,0
1816,HSS10X3-1/2X3/16,16.44,4.5,0,0,0,0,0,0,53.6,13.7,10.7,3.45,10.3,6.52,5.89,1.51,28.6,0,0
1817,HSS10X3X3/8,30.03,8.27,0,0,0,0,0,0,88,23.7,17.6,3.26,12.4,9.73,8.28,1.22,37.8,0,0
1818,HSS10X3X5/16,25.46,7.01,0,0,0,0,0,0,76.3,20.3,15.3,3.3,11,8.42,7.3,1.25,33,0,0
1819,HSS10X3X1/4,20.72,5.7,0,0,0,0,0,0,63.6,16.7,12.7,3.34,9.28,6.99,6.19,1.28,27.6,0,0
1820,HSS10X3X3/16,15.8,4.32,0,0,0,0,0,0,49.4,12.8,9.87,3.38,7.33,5.41,4.89,1.3,21.5,0,0
1821,HSS10X3X1/8,10.71,2.93,0,0,0,0,0,0,34.2,8.8,6.83,3.42,5.16,3.74,3.44,1.33,14.9,0,0
1822,HSS10X2X3/8,27.48,7.58,0,0,0,0,0,0,71.7,20.3,14.3,3.08,4.7,5.76,4.7,0.787,15.9,0,0
1823,HSS10X2X5/16,23.34,6.43,0,0,0,0,0,0,62.6,17.5,12.5,3.12,4.24,5.06,4.24,0.812,14.2,0,0
1824,HSS10X2X1/4,19.02,5.24,0,0,0,0,0,0,52.5,14.4,10.5,3.17,3.67,4.26,3.67,0.838,12.2,0,0
1825,HSS10X2X3/16,14.53,3.98,0,0,0,0,0,0,41,11.1,8.19,3.21,2.97,3.34,2.97,0.864,9.74,0,0
1826,HSS10X2X1/8,9.86,2.7,0,0,0,0,0,0,28.5,7.65,5.7,3.25,2.14,2.33,2.14,0.89,6.9,0,0
1827,HSS9X9X5/8,67.82,18.7,0,0,0,0,0,0,216,58.1,47.9,3.4,216,58.1,47.9,3.4,356,0,0
1828,HSS9X9X1/2,55.66,15.3,0,0,0,0,0,0,183,48.4,40.6,3.45,183,48.4,40.6,3.45,296,0,0
1829,HSS9X9X3/8,42.79,11.8,0,0,0,0,0,0,145,37.8,32.2,3.51,145,37.8,32.2,3.51,231,0,0
1830,HSS9X9X5/16,36.1,9.92,0,0,0,0,0,0,124,32.1,27.6,3.54,124,32.1,27.6,3.54,196,0,0
1831,HSS9X9X1/4,29.23,8.03,0,0,0,0,0,0,102,26.2,22.7,3.56,102,26.2,22.7,3.56,159,0,0
1832,HSS9X9X3/16,22.18,6.06,0,0,0,0,0,0,78.2,20,17.4,3.59,78.2,20,17.4,3.59,121,0,0
1833,HSS9X9X1/8,14.96,4.09,0,0,0,0,0,0,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62,82,0,0
1834,HSS9X7X5/8,59.32,16.4,0,0,0,0,0,0,174,48.3,38.7,3.26,117,40.5,33.5,2.68,235,0,0
1835,HSS9X7X1/2,48.85,13.5,0,0,0,0,0,0,149,40.5,33,3.32,100,34,28.7,2.73,197,0,0
1836,HSS9X7X3/8,37.69,10.4,0,0,0,0,0,0,119,31.8,26.4,3.38,80.4,26.7,23,2.78,154,0,0
1837,HSS9X7X5/16,31.84,8.76,0,0,0,0,0,0,102,27.1,22.6,3.41,69.2,22.8,19.8,2.81,131,0,0
1838,HSS9X7X1/4,25.82,7.1,0,0,0,0,0,0,84.1,22.2,18.7,3.44,57.2,18.7,16.3,2.84,107,0,0
1839,HSS9X7X3/16,19.63,5.37,0,0,0,0,0,0,64.7,16.9,14.4,3.47,44.1,14.3,12.6,2.87,81.7,0,0
1840,HSS9X5X5/8,50.81,14,0,0,0,0,0,0,133,38.5,29.6,3.08,52,25.3,20.8,1.92,128,0,0
1841,HSS9X5X1/2,42.05,11.6,0,0,0,0,0,0,115,32.5,25.5,3.14,45.2,21.5,18.1,1.97,109,0,0
1842,HSS9X5X3/8,32.58,8.97,0,0,0,0,0,0,92.5,25.7,20.5,3.21,36.8,17.1,14.7,2.03,86.9,0,0
1843,HSS9X5X5/16,27.59,7.59,0,0,0,0,0,0,79.8,22,17.7,3.24,32,14.6,12.8,2.05,74.4,0,0
1844,HSS9X5X1/4,22.42,6.17,0,0,0,0,0,0,66.1,18.1,14.7,3.27,26.6,12,10.6,2.08,61.2,0,0
1845,HSS9X5X3/16,17.08,4.67,0,0,0,0,0,0,51.1,13.8,11.4,3.31,20.7,9.25,8.28,2.1,46.9,0,0
1846,HSS9X3X1/2,35.24,9.74,0,0,0,0,0,0,80.8,24.6,18,2.88,13.2,10.8,8.81,1.17,40,0,0
1847,HSS9X3X3/8,27.48,7.58,0,0,0,0,0,0,66.3,19.7,14.7,2.96,11.2,8.8,7.45,1.21,33.1,0,0
1848,HSS9X3X5/16,23.34,6.43,0,0,0,0,0,0,57.7,16.9,12.8,3,9.88,7.63,6.59,1.24,28.9,0,0
1849,HSS9X3X1/4,19.02,5.24,0,0,0,0,0,0,48.2,14,10.7,3.04,8.38,6.35,5.59,1.27,24.2,0,0
1850,HSS9X3X3/16,14.53,3.98,0,0,0,0,0,0,37.6,10.8,8.35,3.07,6.64,4.92,4.42,1.29,18.9,0,0
1851,HSS8X8X5/8,59.32,16.4,0,0,0,0,0,0,146,44.7,36.5,2.99,146,44.7,36.5,2.99,244,0,0
1852,HSS8X8X1/2,48.85,13.5,0,0,0,0,0,0,125,37.5,31.2,3.04,125,37.5,31.2,3.04,204,0,0
1853,HSS8X8X3/8,37.69,10.4,0,0,0,0,0,0,100,29.4,24.9,3.1,100,29.4,24.9,3.1,160,0,0
1854,HSS8X8X5/16,31.84,8.76,0,0,0,0,0,0,85.6,25.1,21.4,3.13,85.6,25.1,21.4,3.13,136,0,0
1855,HSS8X8X1/4,25.82,7.1,0,0,0,0,0,0,70.7,20.5,17.7,3.15,70.7,20.5,17.7,3.15,111,0,0
1856,HSS8X8X3/16,19.63,5.37,0,0,0,0,0,0,54.4,15.7,13.6,3.18,54.4,15.7,13.6,3.18,84.5,0,0
1857,HSS8X8X1/8,13.26,3.62,0,0,0,0,0,0,37.4,10.7,9.34,3.21,37.4,10.7,9.34,3.21,57.3,0,0
1858,HSS8X6X5/8,50.81,14,0,0,0,0,0,0,114,36.1,28.5,2.85,72.3,29.5,24.1,2.27,150,0,0
1859,HSS8X6X1/2,42.05,11.6,0,0,0,0,0,0,98.2,30.5,24.6,2.91,62.5,24.9,20.8,2.32,127,0,0
1860,HSS8X6X3/8,32.58,8.97,0,0,0,0,0,0,79.1,24.1,19.8,2.97,50.6,19.8,16.9,2.38,100,0,0
1861,HSS8X6X5/16,27.59,7.59,0,0,0,0,0,0,68.3,20.6,17.1,3,43.8,16.9,14.6,2.4,85.8,0,0
1862,HSS8X6X1/4,22.42,6.17,0,0,0,0,0,0,56.6,16.9,14.2,3.03,36.4,13.9,12.1,2.43,70.3,0,0
1863,HSS8X6X3/16,17.08,4.67,0,0,0,0,0,0,43.7,13,10.9,3.06,28.2,10.7,9.39,2.46,53.7,0,0
1864,HSS8X4X5/8,42.3,11.7,0,0,0,0,0,0,82,27.4,20.5,2.64,26.6,16.6,13.3,1.51,70.3,0,0
1865,HSS8X4X1/2,35.24,9.74,0,0,0,0,0,0,71.8,23.5,17.9,2.71,23.6,14.3,11.8,1.56,61.1,0,0
1866,HSS8X4X3/8,27.48,7.58,0,0,0,0,0,0,58.7,18.8,14.7,2.78,19.6,11.5,9.8,1.61,49.3,0,0
1867,HSS8X4X5/16,23.34,6.43,0,0,0,0,0,0,51,16.1,12.8,2.82,17.2,9.91,8.58,1.63,42.6,0,0
1868,HSS8X4X1/4,19.02,5.24,0,0,0,0,0,0,42.5,13.3,10.6,2.85,14.4,8.2,7.21,1.66,35.3,0,0
1869,HSS8X4X3/16,14.53,3.98,0,0,0,0,0,0,33.1,10.2,8.27,2.88,11.3,6.33,5.65,1.69,27.2,0,0
1870,HSS8X4X1/8,9.86,2.7,0,0,0,0,0,0,22.9,7.02,5.73,2.92,7.9,4.36,3.95,1.71,18.7,0,0
1871,HSS8X3X1/2,31.84,8.81,0,0,0,0,0,0,58.6,20,14.6,2.58,11.7,9.64,7.81,1.15,34.3,0,0
1872,HSS8X3X3/8,24.93,6.88,0,0,0,0,0,0,48.5,16.1,12.1,2.65,10,7.88,6.63,1.2,28.5,0,0
1873,HSS8X3X5/16,21.21,5.85,0,0,0,0,0,0,42.4,13.9,10.6,2.69,8.81,6.84,5.87,1.23,24.9,0,0
1874,HSS8X3X1/4,17.32,4.77,0,0,0,0,0,0,35.5,11.5,8.88,2.73,7.49,5.7,4.99,1.25,20.8,0,0
1875,HSS8X3X3/16,13.25,3.63,0,0,0,0,0,0,27.8,8.87,6.94,2.77,5.94,4.43,3.96,1.28,16.2,0,0
1876,HSS8X3X1/8,9.01,2.46,0,0,0,0,0,0,19.3,6.11,4.83,2.8,4.2,3.07,2.8,1.31,11.3,0,0
1877,HSS8X2X1/2,28.43,7.88,0,0,0,0,0,0,45.3,16.5,11.3,2.4,4.19,5.47,4.19,0.73,13.6,0,0
1878,HSS8X2X3/8,22.37,6.18,0,0,0,0,0,0,38.2,13.4,9.56,2.49,3.73,4.61,3.73,0.777,12.1,0,0
1879,HSS8X2X5/16,19.08,5.26,0,0,0,0,0,0,33.7,11.6,8.43,2.53,3.38,4.06,3.38,0.802,10.9,0,0
1880,HSS8X2X1/4,15.62,4.3,0,0,0,0,0,0,28.5,9.68,7.12,2.57,2.94,3.43,2.94,0.827,9.36,0,0
1881,HSS8X2X3/16,11.97,3.28,0,0,0,0,0,0,22.4,7.51,5.61,2.61,2.39,2.7,2.39,0.853,7.48,0,0
1882,HSS8X2X1/8,8.16,2.23,0,0,0,0,0,0,15.7,5.19,3.93,2.65,1.72,1.9,1.72,0.879,5.3,0,0
1883,HSS7X7X5/8,50.81,14,0,0,0,0,0,0,93.4,33.1,26.7,2.58,93.4,33.1,26.7,2.58,158,0,0
1884,HSS7X7X1/2,42.05,11.6,0,0,0,0,0,0,80.5,27.9,23,2.63,80.5,27.9,23,2.63,133,0,0
1885,HSS7X7X3/8,32.58,8.97,0,0,0,0,0,0,65,22.1,18.6,2.69,65,22.1,18.6,2.69,105,0,0
1886,HSS7X7X5/16,27.59,7.59,0,0,0,0,0,0,56.1,18.9,16,2.72,56.1,18.9,16,2.72,89.7,0,0
1887,HSS7X7X1/4,22.42,6.17,0,0,0,0,0,0,46.5,15.5,13.3,2.75,46.5,15.5,13.3,2.75,73.5,0,0
1888,HSS7X7X3/16,17.08,4.67,0,0,0,0,0,0,36,11.9,10.3,2.77,36,11.9,10.3,2.77,56.1,0,0
1889,HSS7X7X1/8,11.56,3.16,0,0,0,0,0,0,24.8,8.13,7.09,2.8,24.8,8.13,7.09,2.8,38.2,0,0
1890,HSS7X5X1/2,35.24,9.74,0,0,0,0,0,0,60.6,21.9,17.3,2.5,35.6,17.3,14.2,1.91,75.8,0,0
1891,HSS7X5X3/8,27.48,7.58,0,0,0,0,0,0,49.5,17.5,14.1,2.56,29.3,13.8,11.7,1.97,60.6,0,0
1892,HSS7X5X5/16,23.34,6.43,0,0,0,0,0,0,43,15,12.3,2.59,25.5,11.9,10.2,1.99,52.1,0,0
1893,HSS7X5X1/4,19.02,5.24,0,0,0,0,0,0,35.9,12.4,10.2,2.62,21.3,9.83,8.53,2.02,42.9,0,0
1894,HSS7X5X3/16,14.53,3.98,0,0,0,0,0,0,27.9,9.52,7.96,2.65,16.6,7.57,6.65,2.05,32.9,0,0
1895,HSS7X5X1/8,9.86,2.7,0,0,0,0,0,0,19.3,6.53,5.52,2.68,11.6,5.2,4.63,2.07,22.5,0,0
1896,HSS7X4X1/2,31.84,8.81,0,0,0,0,0,0,50.7,18.8,14.5,2.4,20.7,12.6,10.4,1.53,50.5,0,0
1897,HSS7X4X3/8,24.93,6.88,0,0,0,0,0,0,41.8,15.1,11.9,2.46,17.3,10.2,8.63,1.58,41,0,0
1898,HSS7X4X5/16,21.21,5.85,0,0,0,0,0,0,36.5,13.1,10.4,2.5,15.2,8.83,7.58,1.61,35.4,0,0
1899,HSS7X4X1/4,17.32,4.77,0,0,0,0,0,0,30.5,10.8,8.72,2.53,12.8,7.33,6.38,1.64,29.3,0,0
1900,HSS7X4X3/16,13.25,3.63,0,0,0,0,0,0,23.8,8.33,6.81,2.56,10,5.67,5.02,1.66,22.7,0,0
1901,HSS7X4X1/8,9.01,2.46,0,0,0,0,0,0,16.6,5.73,4.73,2.59,7.03,3.91,3.51,1.69,15.6,0,0
1902,HSS7X3X1/2,28.43,7.88,0,0,0,0,0,0,40.7,15.8,11.6,2.27,10.2,8.46,6.8,1.14,28.6,0,0
1903,HSS7X3X3/8,22.37,6.18,0,0,0,0,0,0,34.1,12.8,9.73,2.35,8.71,6.95,5.81,1.19,23.9,0,0
1904,HSS7X3X5/16,19.08,5.26,0,0,0,0,0,0,29.9,11.1,8.54,2.38,7.74,6.05,5.16,1.21,20.9,0,0
1905,HSS7X3X1/4,15.62,4.3,0,0,0,0,0,0,25.2,9.22,7.19,2.42,6.6,5.06,4.4,1.24,17.5,0,0
1906,HSS7X3X3/16,11.97,3.28,0,0,0,0,0,0,19.8,7.14,5.65,2.45,5.24,3.94,3.5,1.26,13.7,0,0
1907,HSS7X3X1/8,8.16,2.23,0,0,0,0,0,0,13.8,4.93,3.95,2.49,3.71,2.73,2.48,1.29,9.48,0,0
1908,HSS7X2X1/4,13.91,3.84,0,0,0,0,0,0,19.8,7.64,5.67,2.27,2.58,3.02,2.58,0.819,7.95,0,0
1909,HSS7X2X3/16,10.7,2.93,0,0,0,0,0,0,15.7,5.95,4.49,2.31,2.1,2.39,2.1,0.845,6.35,0,0
1910,HSS7X2X1/8,7.31,2,0,0,0,0,0,0,11.1,4.13,3.16,2.35,1.52,1.68,1.52,0.871,4.51,0,0
1911,HSS6X6X5/8,42.3,11.7,0,0,0,0,0,0,55.2,23.2,18.4,2.17,55.2,23.2,18.4,2.17,94.9,0,0
1912,HSS6X6X1/2,35.24,9.74,0,0,0,0,0,0,48.3,19.8,16.1,2.23,48.3,19.8,16.1,2.23,81.1,0,0
1913,HSS6X6X3/8,27.48,7.58,0,0,0,0,0,0,39.5,15.8,13.2,2.28,39.5,15.8,13.2,2.28,64.6,0,0
1914,HSS6X6X5/16,23.34,6.43,0,0,0,0,0,0,34.3,13.6,11.4,2.31,34.3,13.6,11.4,2.31,55.4,0,0
1915,HSS6X6X1/4,19.02,5.24,0,0,0,0,0,0,28.6,11.2,9.54,2.34,28.6,11.2,9.54,2.34,45.6,0,0
1916,HSS6X6X3/16,14.53,3.98,0,0,0,0,0,0,22.3,8.63,7.42,2.37,22.3,8.63,7.42,2.37,35,0,0
1917,HSS6X6X1/8,9.86,2.7,0,0,0,0,0,0,15.5,5.92,5.15,2.39,15.5,5.92,5.15,2.39,23.9,0,0
1918,HSS6X5X1/2,31.84,8.81,0,0,0,0,0,0,41.1,17.2,13.7,2.16,30.8,15.2,12.3,1.87,59.8,0,0
1919,HSS6X5X3/8,24.93,6.88,0,0,0,0,0,0,33.9,13.8,11.3,2.22,25.5,12.2,10.2,1.92,48.1,0,0
1920,HSS6X5X5/16,21.21,5.85,0,0,0,0,0,0,29.6,11.9,9.85,2.25,22.3,10.5,8.91,1.95,41.4,0,0
1921,HSS6X5X1/4,17.32,4.77,0,0,0,0,0,0,24.7,9.87,8.25,2.28,18.7,8.72,7.47,1.98,34.2,0,0
1922,HSS6X5X3/16,13.25,3.63,0,0,0,0,0,0,19.3,7.62,6.44,2.31,14.6,6.73,5.84,2.01,26.3,0,0
1923,HSS6X5X1/8,9.01,2.46,0,0,0,0,0,0,13.4,5.24,4.48,2.34,10.2,4.63,4.07,2.03,18,0,0
1924,HSS6X4X1/2,28.43,7.88,0,0,0,0,0,0,34,14.6,11.3,2.08,17.8,11,8.89,1.5,40.3,0,0
1925,HSS6X4X3/8,22.37,6.18,0,0,0,0,0,0,28.3,11.9,9.43,2.14,14.9,8.94,7.47,1.55,32.8,0,0
1926,HSS6X4X5/16,19.08,5.26,0,0,0,0,0,0,24.8,10.3,8.27,2.17,13.2,7.75,6.58,1.58,28.4,0,0
1927,HSS6X4X1/4,15.62,4.3,0,0,0,0,0,0,20.9,8.53,6.96,2.2,11.1,6.45,5.56,1.61,23.6,0,0
1928,HSS6X4X3/16,11.97,3.28,0,0,0,0,0,0,16.4,6.6,5.46,2.23,8.76,5,4.38,1.63,18.2,0,0
1929,HSS6X4X1/8,8.16,2.23,0,0,0,0,0,0,11.4,4.56,3.81,2.26,6.15,3.46,3.08,1.66,12.6,0,0
1930,HSS6X3X1/2,25.03,6.95,0,0,0,0,0,0,26.8,12.1,8.95,1.97,8.69,7.28,5.79,1.12,23.1,0,0
1931,HSS6X3X3/8,19.82,5.48,0,0,0,0,0,0,22.7,9.9,7.57,2.04,7.48,6.03,4.99,1.17,19.3,0,0
1932,HSS6X3X5/16,16.96,4.68,0,0,0,0,0,0,20.1,8.61,6.69,2.07,6.67,5.27,4.45,1.19,16.9,0,0
1933,HSS6X3X1/4,13.91,3.84,0,0,0,0,0,0,17,7.19,5.66,2.1,5.7,4.41,3.8,1.22,14.2,0,0
1934,HSS6X3X3/16,10.7,2.93,0,0,0,0,0,0,13.4,5.59,4.47,2.14,4.55,3.45,3.03,1.25,11.1,0,0
1935,HSS6X3X1/8,7.31,2,0,0,0,0,0,0,9.43,3.87,3.14,2.17,3.23,2.4,2.15,1.27,7.73,0,0
1936,HSS6X2X3/8,17.27,4.78,0,0,0,0,0,0,17.1,7.93,5.71,1.89,2.77,3.46,2.77,0.76,8.42,0,0
1937,HSS6X2X5/16,14.83,4.1,0,0,0,0,0,0,15.3,6.95,5.11,1.93,2.52,3.07,2.52,0.785,7.6,0,0
1938,HSS6X2X1/4,12.21,3.37,0,0,0,0,0,0,13.1,5.84,4.37,1.97,2.21,2.61,2.21,0.81,6.55,0,0
1939,HSS6X2X3/16,9.42,2.58,0,0,0,0,0,0,10.5,4.58,3.49,2.01,1.8,2.07,1.8,0.836,5.24,0,0
1940,HSS6X2X1/8,6.46,1.77,0,0,0,0,0,0,7.42,3.19,2.47,2.05,1.31,1.46,1.31,0.861,3.72,0,0
1941,HSS5-1/2X5-1/2X3/8,24.93,6.88,0,0,0,0,0,0,29.7,13.1,10.8,2.08,29.7,13.1,10.8,2.08,49,0,0
1942,HSS5-1/2X5-1/2X5/16,21.21,5.85,0,0,0,0,0,0,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11,42.2,0,0
1943,HSS5-1/2X5-1/2X1/4,17.32,4.77,0,0,0,0,0,0,21.7,9.32,7.9,2.13,21.7,9.32,7.9,2.13,34.8,0,0
1944,HSS5-1/2X5-1/2X3/16,13.25,3.63,0,0,0,0,0,0,17,7.19,6.17,2.16,17,7.19,6.17,2.16,26.7,0,0
1945,HSS5-1/2X5-1/2X1/8,9.01,2.46,0,0,0,0,0,0,11.8,4.95,4.3,2.19,11.8,4.95,4.3,2.19,18.3,0,0
1946,HSS5X5X1/2,28.43,7.88,0,0,0,0,0,0,26,13.1,10.4,1.82,26,13.1,10.4,1.82,44.6,0,0
